Applicant_ID,Age,Education_Level,Years_with_Current_Employer,Years_at_Current_Address,Household_Income_(Thousands_NIS),Debt_to_Income_Ratio_(%),Credit_Card_Debt_(Thousands_NIS),Other_Debt_(Thousands_NIS),y
5064,41,0,7,4,64,1.9,0,2,0
5065,32,high school,6,14,109,13.8,4,12,0
5066,30,university,21,6,214,6.7,2,18,0
5067,38,high school,20,11,203,13.8,2,13,0
5068,33,university,3,15,90,7.1,0,11,0
5069,42,high school,19,1,60,7.2,3,1,0
5070,26,high school,17,26,210,2.2,4,8,0
5071,29,graduate professional education,9,2,165,2.3,4,4,0
5072,27,high school,4,8,507,8.5,1,23,0
5073,25,high school,4,2,101,17.2,3,1,0
5074,26,high school,4,26,473,3.6,6,5,0
5075,40,high school,3,12,267,9.1,2,1,0
5076,26,high school,0,2,173,16.6,2,8,0
5077,28,university,25,19,109,4.8,2,17,0
5078,40,0,8,2,282,7.2,2,7,0
5079,31,high school,11,1,98,5.1,5,8,0
5080,25,high school,8,2,68,4.8,2,5,0
5081,43,university,19,0,274,21.4,2,16,0
5082,29,high school,5,7,590,3.6,2,4,0
5083,39,university,9,4,169,4.8,0,11,0
5084,27,university,10,0,278,30.3,2,6,0
5085,38,0,4,3,79,5.2,0,0,0
5086,29,high school,16,6,94,2,4,4,0
5087,41,high school,7,19,79,7.9,3,8,0
5088,29,high school,12,14,188,17.6,1,18,0
5089,31,university,5,11,94,10,3,19,0
5090,31,high school,7,20,192,6,1,10,0
5091,31,high school,8,1,105,9.6,4,1,0
5092,26,high school,23,16,225,18.9,5,5,0
5093,38,university,1,25,376,4.1,3,11,0
5094,55,university,3,1,146,4.6,1,4,0
5095,36,university,4,4,150,7.9,3,8,0
5096,39,high school,6,19,79,4.2,10,10,0
5097,40,0,5,8,135,4.4,0,35,0
5098,22,high school,4,7,68,15.7,20,7,0
5099,39,graduate professional education,22,3,116,19,23,3,0
5100,39,graduate professional education,16,25,128,8.8,3,2,0
5101,25,university,7,9,128,7.8,12,16,0
5102,29,high school,15,1,597,19.2,5,1,0
5103,27,high school,1,19,274,1.2,2,10,0
5104,52,university,25,2,177,5.2,0,7,0
5105,40,high school,19,2,120,10.1,2,2,0
5106,48,university,0,1,94,8.5,0,5,0
5107,35,high school,7,26,195,10.2,2,6,0
5108,22,high school,13,2,68,3.8,12,8,0
5109,34,high school,3,3,94,17.1,0,0,0
5110,50,graduate professional education,5,19,158,11,3,15,0
5111,43,high school,19,10,101,6.8,1,5,0
5112,27,high school,1,9,90,11.7,2,10,0
5113,35,graduate professional education,2,2,146,1.9,4,6,0
5114,26,university,3,7,312,9.4,7,5,0
5115,21,high school,7,11,139,4.4,2,38,0
5116,37,graduate professional education,6,8,237,1.5,2,19,0
5117,45,high school,6,4,143,24.8,3,7,0
5118,41,high school,0,3,169,2.8,4,4,0
5119,46,university,25,20,128,10.3,3,6,0
5120,35,high school,17,17,79,2.2,4,2,0
5121,30,university,18,9,116,13.3,7,5,0
5122,28,graduate professional education,22,8,267,3.3,6,7,0
5123,34,high school,19,16,623,3.8,4,4,0
5124,42,high school,22,14,68,9.8,4,10,0
5125,41,high school,3,13,128,3.2,5,10,0
5126,32,university,10,9,113,4.1,1,11,0
5127,26,graduate professional education,12,2,222,1.6,2,8,0
5128,50,university,0,9,131,12.9,2,2,0
5129,54,university,8,9,623,5.6,2,3,0
5130,43,university,5,3,105,7.8,6,7,0
5131,40,university,8,2,94,9.4,4,28,0
5132,47,0,14,1,124,6.3,3,1,0
5133,51,high school,9,2,86,30.6,1,17,0
5134,39,high school,21,0,424,3.1,3,4,0
5135,37,high school,18,23,116,12.1,0,2,0
5136,31,high school,1,15,98,6.1,2,4,0
5137,46,high school,10,8,94,8.5,4,6,0
5138,36,university,0,14,139,3.1,2,21,0
5139,50,university,2,2,143,20.4,7,15,0
5140,39,high school,12,9,274,18.8,4,6,0
5141,25,high school,8,9,131,5.5,3,3,0
5142,41,high school,10,3,255,3.7,1,4,0
5143,43,high school,1,8,113,17.4,2,36,0
5144,30,university,5,3,131,8.2,6,1,0
5145,46,high school,18,23,60,5.3,1,7,0
5146,27,high school,9,8,293,8.2,3,4,0
5147,26,high school,16,12,173,3.1,1,9,0
5148,50,high school,9,2,165,19.6,4,5,0
5149,48,high school,18,4,139,13,2,3,0
5150,26,university,3,8,79,7.6,2,38,0
5151,45,high school,3,8,192,8.2,2,0,0
5152,28,university,19,6,124,6.1,3,3,0
5153,29,university,6,11,94,7.3,1,19,0
5154,39,0,7,10,79,2.9,0,7,0
5155,37,graduate professional education,16,3,83,18.9,5,4,0
5156,27,high school,1,12,128,17.6,2,22,0
5157,29,graduate professional education,9,16,124,3,0,13,0
5158,27,0,9,0,282,0,8,11,0
5159,31,university,22,0,146,9.1,3,2,0
5160,35,high school,9,9,379,5.3,6,63,0
5161,39,university,9,8,98,13,1,12,0
5162,29,high school,8,4,451,15.7,2,1,0
5163,34,university,12,4,143,7,1,14,0
5164,38,high school,10,13,56,5.5,2,3,0
5165,52,high school,5,0,113,9.7,1,3,0
5166,40,high school,11,1,210,9.6,15,2,0
5167,26,high school,10,9,101,7.1,3,5,0
5168,28,university,5,0,143,0,0,4,0
5169,30,high school,4,17,128,30.6,1,3,0
5170,41,high school,16,2,83,8.3,0,1,0
5171,45,high school,4,9,109,13.3,17,4,0
5172,29,university,11,2,169,6.3,2,2,0
5173,39,high school,6,7,98,3.4,2,1,0
5174,41,university,13,0,222,3.1,2,3,0
5175,33,high school,19,6,240,1.7,1,22,0
5176,47,university,13,4,507,12.1,10,29,0
5177,28,high school,14,0,424,2.7,1,8,0
5178,37,0,9,12,86,5.9,4,2,0
5179,21,university,12,25,94,3,5,34,0
5180,27,high school,1,1,109,8.5,10,4,0
5181,46,high school,5,3,214,6.2,4,4,0
5182,30,high school,22,14,180,2.6,4,2,0
5183,37,high school,7,15,146,9.5,2,5,0
5184,30,university,1,10,278,12.8,10,10,0
5185,50,university,7,14,86,5.9,1,10,0
5186,28,0,7,9,180,14.4,1,2,0
5187,25,university,1,17,116,5.9,2,2,0
5188,25,high school,13,16,75,4.2,5,5,0
5189,39,0,1,16,75,17.5,5,3,0
5190,35,university,4,7,116,5.9,3,3,0
5191,38,high school,18,0,210,0.6,0,6,0
5192,34,high school,16,14,214,6.7,2,6,0
5193,24,high school,21,10,105,16.3,6,2,0
5194,30,university,12,26,86,6.2,6,6,0
5195,23,high school,17,5,131,24.8,0,5,0
5196,39,graduate professional education,6,15,146,1.5,3,2,0
5197,43,high school,22,25,90,5.7,1,4,0
5198,39,university,22,2,60,4.3,1,2,0
5199,30,high school,10,21,116,5.3,9,2,0
5200,48,high school,11,5,195,7.4,0,4,0
5201,29,high school,22,14,150,4.1,1,10,0
5202,32,university,9,20,207,13,5,9,0
5203,30,high school,5,19,83,14.3,0,5,0
5204,27,university,22,3,473,1.6,1,6,0
5205,32,high school,8,19,165,23.9,0,29,0
5206,47,high school,13,7,376,4.1,1,21,0
5207,51,graduate professional education,19,6,195,10.1,2,10,0
5208,22,graduate professional education,16,5,507,4.8,2,6,0
5209,36,university,16,4,105,6.1,2,11,0
5210,39,university,6,10,60,10.9,3,3,0
5211,43,university,19,9,278,10.2,2,10,0
5212,41,university,6,0,124,17.4,2,1,0
5213,30,high school,3,4,120,18.8,3,14,0
5214,29,graduate professional education,0,20,79,4.1,2,3,0
5215,31,high school,10,10,131,5.1,13,1,0
5216,35,high school,26,2,113,9.6,4,1,0
5217,29,high school,13,6,192,12,7,5,0
5218,36,university,2,12,64,5.6,3,20,0
5219,38,high school,8,15,131,5.3,1,3,0
5220,36,university,7,4,116,6.1,3,7,0
5221,43,high school,10,10,79,17.2,10,5,0
5222,27,high school,5,8,60,12.8,37,6,0
5223,31,high school,5,1,86,0.8,8,9,0
5224,43,high school,24,25,83,3.8,3,1,0
5225,50,high school,9,4,94,11.2,6,69,0
5226,49,high school,4,7,244,3,10,21,0
5227,46,university,6,10,282,18.8,8,8,0
5228,33,0,1,6,192,4.2,2,8,0
5229,50,graduate professional education,0,6,165,5.6,1,9,0
5230,40,university,23,1,120,8.1,7,3,0
5231,35,university,6,25,98,9.6,10,5,0
5232,33,graduate professional education,3,19,210,15.6,1,7,0
5233,40,0,24,10,143,13.3,9,13,0
5234,39,university,4,3,101,7.7,1,9,0
5235,26,high school,1,8,252,5.4,26,1,0
5236,28,graduate professional education,0,21,105,19.9,1,9,0
5237,43,high school,9,25,90,7.8,1,17,0
5238,43,high school,16,12,90,7.6,3,2,0
5239,42,university,1,22,98,11.4,2,2,0
5240,27,high school,11,3,597,9.5,2,2,0
5241,52,university,5,11,79,9.7,3,3,0
5242,37,0,5,12,541,17.6,0,10,0
5243,38,university,11,7,214,5.8,4,12,0
5244,32,graduate professional education,15,10,207,6,8,8,0
5245,24,university,13,19,79,6.3,4,3,0
5246,35,high school,5,4,165,3,4,2,0
5247,52,high school,2,3,165,16.3,3,14,0
5248,34,university,9,7,195,2,1,2,0
5249,51,high school,16,18,282,3.6,2,3,0
5250,35,university,8,8,203,0,5,4,0
5251,40,university,20,2,300,7.6,0,2,0
5252,38,high school,12,10,116,8.2,3,1,0
5253,41,university,8,0,86,10.3,0,4,0
5254,31,high school,16,21,150,3,5,1,0
5255,22,university,8,7,255,7.8,0,18,0
5256,39,university,14,12,101,2.9,5,69,0
5257,41,high school,4,25,169,5.1,2,2,0
5258,39,high school,16,23,259,17,2,8,0
5259,41,graduate professional education,13,12,169,21,0,11,0
5260,39,high school,8,5,188,2.8,3,18,0
5261,30,high school,12,1,225,4.4,6,7,0
5262,27,high school,9,5,71,13,5,2,0
5263,39,university,4,3,98,14.3,6,5,0
5264,31,high school,13,6,101,4.4,2,11,0
5265,33,high school,5,13,116,13.2,4,3,0
5266,37,high school,7,13,68,13,6,7,0
5267,27,high school,19,0,169,4.1,1,4,0
5268,36,high school,11,19,300,5.5,1,8,0
5269,43,graduate professional education,21,6,64,6.1,1,2,0
5270,26,graduate professional education,18,12,79,14.3,6,8,0
5271,31,high school,7,5,203,1.5,3,8,0
5272,43,high school,0,1,64,6.1,10,5,0
5273,32,high school,8,8,282,13,2,11,0
5274,43,high school,10,19,83,14.6,2,4,0
5275,51,0,9,5,98,7,2,8,0
5276,22,0,9,7,79,6,4,4,0
5277,29,graduate professional education,7,15,146,7.8,1,13,0
5278,24,university,1,7,195,12.8,3,2,0
5279,32,high school,8,5,135,7.1,18,36,0
5280,48,high school,12,17,75,3.1,10,11,0
5281,35,high school,22,1,282,2.7,2,5,0
5282,26,university,14,4,68,13.3,10,15,0
5283,25,university,6,10,120,1.5,2,8,0
5284,36,university,15,2,94,2,1,1,0
5285,26,high school,11,2,143,10.3,1,6,0
5286,36,university,1,2,105,2.6,1,22,0
5287,30,university,18,0,124,18.8,3,13,0
5288,47,high school,12,10,308,12.2,3,8,0
5289,45,0,9,7,162,24.1,36,4,0
5290,21,university,15,12,128,5.3,2,3,0
5291,50,high school,8,20,86,9.4,2,34,0
5292,48,graduate professional education,22,2,323,5.6,8,1,0
5293,23,high school,13,20,90,23.9,4,6,0
5294,41,high school,12,9,169,17.1,2,9,0
5295,35,high school,13,11,146,3.6,5,10,0
5296,38,university,19,10,225,7,3,4,0
5297,36,high school,5,9,94,6.7,1,48,0
5298,48,0,13,26,90,6.7,15,3,0
5299,24,0,14,4,590,13,2,7,0
5300,27,university,4,3,244,1.6,12,9,0
5301,51,graduate professional education,2,0,68,8.3,3,11,0
5302,25,graduate professional education,1,6,192,3.5,13,37,0
5303,29,0,15,1,225,7.8,4,17,0
5304,50,high school,8,6,135,5.8,14,9,0
5305,32,university,15,10,94,7.3,1,5,0
5306,43,0,22,4,507,6,8,3,0
5307,36,high school,5,20,214,5.9,0,4,0
5308,39,university,1,24,64,22.9,3,3,0
5309,40,university,12,11,394,7.7,2,6,0
5310,46,high school,5,6,436,2.2,1,8,0
5311,41,high school,5,1,116,10.8,8,4,0
5312,41,high school,1,3,214,1.3,12,28,0
5313,32,high school,1,16,83,10.2,1,28,0
5314,43,high school,0,3,376,7.1,4,16,0
5315,40,university,12,9,120,15.1,10,45,0
5316,36,graduate professional education,10,3,98,20,2,4,0
5317,31,high school,8,9,135,7,0,9,0
5318,43,university,4,4,86,11.6,8,3,0
5319,36,graduate professional education,7,14,68,11,1,6,0
5320,33,high school,4,16,60,3.1,2,20,0
5321,39,high school,14,12,143,4.7,1,13,0
5322,32,high school,1,7,165,9.8,3,11,0
5323,46,high school,14,13,60,7.8,5,1,0
5324,35,university,4,0,169,17.5,1,2,0
5325,50,high school,7,13,79,15.6,7,7,0
5326,35,0,9,16,90,8,2,11,0
5327,36,0,20,10,75,6.7,18,7,0
5328,28,graduate professional education,0,1,98,6.7,1,36,0
5329,25,high school,19,7,222,1.3,2,3,0
5330,33,graduate professional education,10,8,83,23.4,7,1,0
5331,28,university,1,4,541,5.1,0,13,0
5332,36,high school,12,4,128,18.8,1,3,0
5333,50,high school,9,5,79,1.6,2,11,0
5334,27,high school,5,27,240,4.8,2,2,0
5335,51,university,8,11,278,7.2,1,1,0
5336,39,graduate professional education,4,2,71,17.1,4,4,0
5337,27,high school,21,10,214,8.9,2,5,0
5338,34,high school,1,10,240,4.8,7,4,0
5339,37,high school,12,1,98,11.7,0,5,0
5340,35,graduate professional education,1,6,169,4.4,1,8,0
5341,39,graduate professional education,4,6,83,6.8,5,2,0
5342,46,high school,18,9,146,11.2,3,4,0
5343,39,high school,1,1,105,8.2,2,5,0
5344,24,university,4,15,195,7.3,2,19,0
5345,40,high school,3,0,120,6.7,1,1,0
5346,27,high school,18,9,195,17.7,1,13,0
5347,30,high school,18,14,60,3.8,4,36,0
5348,37,high school,5,5,124,6,2,34,0
5349,28,graduate professional education,11,19,98,0,4,3,0
5350,41,high school,4,13,146,9.5,4,27,0
5351,29,high school,6,6,120,8.2,13,8,0
5352,43,high school,4,9,394,12.2,10,2,0
5353,51,0,0,18,199,10.3,4,10,0
5354,26,high school,0,9,105,9.6,0,14,0
5355,39,high school,6,2,124,0,7,18,0
5356,41,high school,0,2,233,10.2,19,2,0
5357,23,0,15,4,165,7.3,6,7,0
5358,46,high school,12,9,436,4,5,4,0
5359,39,high school,16,2,139,9.4,1,28,0
5360,26,high school,9,1,162,4.4,3,9,0
5361,36,high school,12,3,113,5.9,1,4,0
5362,41,university,1,6,357,16.5,0,1,0
5363,23,university,6,9,98,11.3,17,4,0
5364,48,high school,17,4,64,21,13,3,0
5365,29,high school,9,7,143,18.2,1,12,0
5366,42,high school,12,2,79,13,3,9,0
5367,29,university,14,1,60,4,10,7,0
5368,30,high school,6,16,334,16.6,8,20,0
5369,23,high school,12,6,131,2,7,2,0
5370,43,university,19,3,210,14.3,2,12,0
5371,42,high school,0,14,79,1.8,3,3,0
5372,26,high school,8,22,101,10,1,4,0
5373,39,graduate professional education,5,2,143,7.3,1,6,0
5374,35,high school,18,10,244,5.2,1,2,0
5375,40,high school,2,8,68,1.7,2,6,0
5376,50,high school,8,13,68,2.3,4,15,0
5377,25,high school,16,4,90,1.5,16,1,0
5378,29,high school,6,10,90,6.7,0,10,0
5379,39,graduate professional education,10,4,124,26,14,13,0
5380,40,university,21,9,274,12.1,8,5,0
5381,34,university,18,8,278,0.7,19,5,0
5382,37,high school,9,16,225,11.2,0,5,0
5383,29,university,9,25,135,14.3,7,5,0
5384,25,high school,9,10,120,6.1,2,11,0
5385,26,high school,9,20,368,2.3,4,15,0
5386,36,high school,20,0,376,8.9,2,5,0
5387,48,university,19,2,143,11.8,1,5,0
5388,26,high school,8,9,214,2,3,17,0
5389,31,university,13,8,98,10.1,20,8,0
5390,41,university,12,0,443,7.4,2,6,0
5391,37,high school,6,8,285,3.2,1,4,0
5392,25,high school,9,12,116,10.1,3,2,0
5393,38,high school,11,12,60,4.2,4,3,0
5394,32,graduate professional education,2,9,146,23.9,1,31,0
5395,29,high school,22,0,53,10.2,3,6,0
5396,44,graduate professional education,13,17,86,17.2,17,8,0
5397,30,high school,8,6,154,15.2,9,5,0
5398,40,high school,9,19,86,9.6,2,2,0
5399,29,university,4,1,98,0,1,4,0
5400,36,university,18,7,169,5.8,2,11,0
5401,40,university,1,25,165,13.2,7,2,0
5402,41,university,5,21,124,11,2,2,0
5403,40,graduate professional education,9,1,79,6.6,26,2,0
5404,29,high school,5,9,113,10.6,2,4,0
5405,47,high school,6,8,113,20,1,69,0
5406,34,high school,8,1,150,7.8,2,4,0
5407,41,high school,6,7,154,3.2,2,15,0
5408,34,high school,4,7,94,3.3,10,32,0
5409,39,high school,13,14,83,14.3,8,2,0
5410,26,university,27,25,210,5.7,2,13,0
5411,26,university,11,7,192,3,2,2,0
5412,40,graduate professional education,19,6,154,12,16,2,0
5413,41,university,7,9,94,10.6,4,3,0
5414,27,high school,18,26,79,1,2,7,0
5415,47,university,5,12,229,1.7,8,47,0
5416,29,high school,7,17,210,8.2,14,9,0
5417,27,graduate professional education,13,16,101,5.5,0,5,0
5418,45,high school,6,13,113,4.9,14,4,0
5419,47,graduate professional education,23,2,68,2.4,2,18,0
5420,21,university,8,10,98,5.2,2,7,0
5421,27,0,14,2,282,24.2,4,11,0
5422,28,high school,18,11,64,13.3,4,5,0
5423,26,university,2,2,90,7.2,1,2,0
5424,29,university,4,6,255,7.8,8,8,0
5425,27,university,17,0,146,24.8,5,7,0
5426,42,university,9,6,225,21.4,2,4,0
5427,46,university,22,4,135,5.5,2,3,0
5428,33,high school,3,8,60,2.6,3,6,0
5429,32,0,17,10,120,7.9,2,0,0
5430,38,university,4,6,94,8.2,0,5,0
5431,37,university,23,9,240,4.4,1,8,0
5432,30,university,13,11,120,5.5,3,9,0
5433,45,graduate professional education,12,0,312,16.7,8,45,0
5434,26,high school,8,0,225,17.6,4,9,0
5435,40,graduate professional education,11,10,116,10.1,10,1,0
5436,36,university,24,9,128,4.4,8,16,0
5437,23,graduate professional education,11,6,94,5.1,1,2,0
5438,36,graduate professional education,13,1,109,5.4,1,12,0
5439,42,high school,9,0,158,14.4,1,3,0
5440,29,high school,12,0,86,21,2,6,0
5441,33,high school,9,10,113,4.2,2,9,0
5442,26,high school,20,4,90,1.5,3,2,0
5443,30,high school,10,0,282,4.2,2,17,0
5444,20,high school,10,15,60,4.4,17,16,0
5445,45,graduate professional education,1,3,64,5.6,6,0,0
5446,30,high school,7,20,79,0,12,20,0
5447,45,high school,2,14,101,4,2,4,0
5448,29,high school,11,9,240,24.8,2,5,0
5449,28,high school,16,13,207,4.7,3,4,0
5450,31,university,9,13,143,8.1,1,3,0
5451,30,high school,7,26,169,6.7,1,0,0
5452,35,high school,5,17,334,6.2,1,16,0
5453,47,high school,15,5,86,5.6,6,29,0
5454,44,university,25,10,79,5.3,3,7,0
5455,39,high school,8,9,146,9.4,17,4,0
5456,34,high school,7,1,64,8.2,2,6,0
5457,47,university,25,0,139,6.1,0,21,0
5458,30,university,3,4,135,4.4,6,5,0
5459,27,high school,5,25,146,18.6,2,8,0
5460,26,graduate professional education,6,2,394,9.6,5,13,0
5461,41,graduate professional education,10,8,75,4.7,2,10,0
5462,41,high school,11,15,218,5,2,10,0
5463,49,high school,8,13,94,9.5,2,9,0
5464,28,high school,12,6,83,5.8,2,18,0
5465,37,high school,16,2,278,11,5,1,0
5466,39,high school,21,6,177,26,10,8,0
5467,36,graduate professional education,10,1,75,12.1,2,15,0
5468,34,high school,18,2,90,9.6,1,29,0
5469,32,high school,21,11,424,7.8,7,35,0
5470,41,high school,9,0,165,4.4,1,7,0
5471,30,university,2,5,105,2.2,3,4,0
5472,26,high school,1,19,120,12.1,3,18,0
5473,30,high school,12,4,376,4.5,2,4,0
5474,36,graduate professional education,8,15,94,21,2,5,0
5475,30,high school,26,7,496,14.4,2,11,0
5476,36,graduate professional education,21,14,139,3.6,1,11,0
5477,33,high school,14,3,143,5.2,2,7,0
5478,26,high school,3,13,135,8.2,3,9,0
5479,32,university,14,4,177,5.6,0,2,0
5480,32,high school,4,9,120,9.6,9,10,0
5481,48,high school,21,10,146,2.9,2,5,0
5482,35,high school,10,8,169,10.8,5,11,0
5483,47,graduate professional education,4,7,101,5.1,4,2,0
5484,35,high school,27,16,113,19.6,3,23,0
5485,34,university,13,9,109,3.2,1,3,0
5486,29,high school,12,7,165,20.8,1,16,0
5487,26,university,6,19,128,17.6,4,2,0
5488,30,0,11,9,240,3.4,2,5,0
5489,29,university,23,9,94,10.1,6,18,0
5490,40,university,12,10,259,12,2,6,0
5491,39,high school,2,31,199,17.7,6,8,0
5492,33,university,6,25,135,17.7,1,6,0
5493,31,high school,4,0,105,8.5,3,1,0
5494,39,high school,7,7,274,9.9,0,5,0
5495,30,university,0,16,105,4,3,13,0
5496,30,high school,13,5,71,9.4,3,11,0
5497,39,graduate professional education,5,1,376,7.2,4,4,0
5498,34,high school,16,6,150,4,1,6,0
5499,37,university,1,10,146,2.3,1,7,0
5500,25,high school,6,25,222,4.9,4,16,0
5501,33,university,19,9,203,4.8,3,15,0
5502,29,university,10,1,79,1,8,0,0
5503,41,graduate professional education,0,3,94,5.5,6,12,0
5504,28,high school,17,11,79,11.6,1,1,0
5505,36,graduate professional education,2,12,105,22.8,2,5,0
5506,38,0,6,11,379,18.2,1,3,0
5507,29,university,9,25,255,10.1,1,29,0
5508,42,high school,10,9,229,7.3,3,15,0
5509,30,high school,8,10,64,10.8,14,35,0
5510,33,high school,16,17,94,5.8,14,3,0
5511,27,university,8,10,214,1.9,5,14,0
5512,39,high school,10,11,278,12,1,1,0
5513,36,university,3,12,304,3.3,5,5,0
5514,41,university,10,17,98,23.4,4,4,0
5515,22,university,7,10,473,6.7,2,4,0
5516,39,university,14,2,109,2.9,5,6,0
5517,28,high school,10,16,237,4.9,4,3,0
5518,25,high school,19,4,203,11.1,3,10,0
5519,41,high school,21,2,94,1.7,2,3,0
5520,39,graduate professional education,0,8,94,9.9,26,6,0
5521,25,high school,2,1,86,21,2,13,0
5522,38,graduate professional education,11,25,68,3.7,6,4,0
5523,45,high school,25,1,83,15.7,2,41,0
5524,31,0,0,4,267,4.8,3,15,0
5525,38,university,16,21,79,6.7,13,2,0
5526,22,high school,7,1,83,2.9,3,3,0
5527,50,high school,19,0,116,30.3,3,1,0
5528,30,graduate professional education,9,7,98,18.9,14,6,0
5529,49,high school,22,6,158,12.8,9,11,0
5530,41,high school,16,6,225,11.2,4,3,0
5531,24,high school,0,19,376,4.4,0,1,0
5532,38,high school,11,3,128,11.1,8,6,0
5533,24,high school,6,10,101,16.6,4,1,0
5534,32,university,21,5,312,5.3,8,6,0
5535,26,graduate professional education,10,1,218,3.8,8,3,0
5536,45,high school,17,10,270,11.2,1,3,0
5537,33,high school,2,1,60,0,5,19,0
5538,24,high school,1,20,158,19.9,1,6,0
5539,31,university,13,5,210,0.6,2,19,0
5540,39,university,20,4,98,13.8,9,15,0
5541,37,high school,6,7,154,3.6,15,8,0
5542,31,high school,27,2,116,24.8,18,7,0
5543,30,university,6,3,541,15.2,0,1,0
5544,48,high school,20,1,436,17.6,0,6,0
5545,34,university,13,16,98,9.5,1,3,0
5546,33,high school,7,9,334,6.8,1,1,0
5547,24,high school,9,13,98,5,6,35,0
5548,38,university,3,8,90,4.1,7,4,0
5549,46,university,10,4,98,7.2,3,17,0
5550,43,high school,3,20,90,1.9,1,5,0
5551,25,high school,8,1,98,5.1,2,23,0
5552,41,high school,5,2,282,11.7,1,5,0
5553,42,high school,5,5,214,3.2,3,4,0
5554,30,high school,13,9,131,13.8,5,8,0
5555,33,university,6,14,98,6.3,4,2,0
5556,22,high school,10,0,83,22.9,10,10,0
5557,27,high school,4,1,285,5,6,5,0
5558,41,high school,12,4,169,17.1,1,5,0
5559,48,high school,19,10,162,6.3,6,2,0
5560,46,university,2,25,218,1.8,0,1,0
5561,29,high school,13,7,83,6,1,1,0
5562,36,university,18,7,342,5.3,1,7,0
5563,35,university,12,31,101,4.5,2,3,0
5564,26,high school,18,2,120,12,2,4,0
5565,34,0,8,13,150,5.1,0,15,0
5566,28,university,7,10,192,19,1,13,0
5567,51,high school,9,22,101,7.8,4,11,0
5568,26,high school,22,1,98,22.1,4,7,0
5569,30,high school,2,4,146,9.4,17,3,0
5570,30,high school,3,9,109,5.6,6,6,0
5571,37,high school,15,2,222,4.2,1,3,0
5572,31,university,1,3,252,7.8,2,8,0
5573,27,high school,3,24,210,3.2,2,18,0
5574,33,high school,3,23,424,5.9,1,3,0
5575,30,high school,5,5,334,12.1,3,3,0
5576,35,high school,7,9,71,4.2,3,36,0
5577,28,high school,4,11,64,6.7,2,2,0
5578,38,high school,7,2,120,9.6,4,2,0
5579,20,high school,21,15,109,1.9,1,14,0
5580,24,high school,8,6,541,8.2,0,47,0
5581,33,university,0,0,98,7.6,26,15,0
5582,24,university,13,0,225,6.7,4,8,0
5583,29,graduate professional education,3,5,225,6.2,2,16,0
5584,29,high school,5,9,312,11.6,4,5,0
5585,47,graduate professional education,7,9,113,5.8,8,5,0
5586,25,high school,14,27,64,6.7,0,16,0
5587,29,high school,17,6,101,26,7,8,0
5588,27,high school,15,2,169,3.2,4,2,0
5589,40,high school,4,2,146,12.5,1,34,0
5590,35,high school,6,23,222,8.8,1,54,0
5591,41,high school,1,4,64,8.3,0,3,0
5592,27,university,8,6,300,6.2,1,6,0
5593,28,graduate professional education,6,16,285,13,3,6,0
5594,39,high school,6,10,124,17.4,1,23,0
5595,28,high school,13,21,158,7.8,6,6,0
5596,28,high school,0,11,143,3,12,10,0
5597,32,high school,6,4,83,4.2,9,13,0
5598,24,high school,13,16,124,9.5,3,7,0
5599,35,0,9,11,143,4.4,4,2,0
5600,51,high school,10,1,255,5.3,2,3,0
5601,30,graduate professional education,12,20,240,3.3,3,10,0
5602,48,high school,18,9,113,11.4,0,4,0
5603,54,high school,9,27,259,9.1,2,8,0
5604,40,high school,8,8,199,1.3,4,3,0
5605,34,university,6,5,297,8.7,1,4,0
5606,39,university,6,5,192,14.3,4,3,0
5607,34,high school,8,15,233,11.7,0,29,0
5608,26,high school,2,14,94,18,17,4,0
5609,33,university,16,4,90,12.8,0,2,0
5610,22,high school,13,12,79,11.1,3,23,0
5611,39,high school,1,8,135,2.6,1,4,0
5612,34,high school,6,7,139,5.3,13,9,0
5613,30,high school,19,17,98,8.2,1,8,0
5614,38,high school,13,3,68,6.3,6,4,0
5615,38,high school,7,0,116,1.5,2,21,0
5616,26,high school,5,4,101,4.5,2,7,0
5617,43,university,22,9,116,9.6,4,5,0
5618,37,high school,4,6,120,16.6,2,12,0
5619,32,university,21,12,116,1.6,2,7,0
5620,39,high school,10,2,101,17.7,5,9,0
5621,39,university,7,17,83,5.3,2,7,0
5622,33,university,8,5,60,4,1,8,0
5623,34,high school,20,7,83,1.2,2,22,0
5624,36,high school,8,10,334,13.3,3,4,0
5625,32,high school,3,20,541,7.3,7,27,0
5626,41,university,18,7,225,17.3,8,3,0
5627,46,high school,10,19,113,3.3,4,2,0
5628,47,high school,2,9,293,18.8,0,15,0
5629,39,high school,12,5,169,18.6,1,5,0
5630,31,high school,11,6,210,24.1,3,69,0
5631,45,university,0,5,98,3.4,5,63,0
5632,23,graduate professional education,14,12,109,10.3,6,9,0
5633,27,graduate professional education,10,9,116,3.6,17,7,0
5634,34,graduate professional education,1,1,308,23.4,10,21,0
5635,34,high school,7,7,376,7,2,5,0
5636,46,high school,15,10,135,6.7,19,8,0
5637,29,high school,20,2,300,4.1,2,3,0
5638,45,university,0,17,259,23.4,0,4,0
5639,39,university,10,13,98,2.2,2,7,0
5640,38,high school,9,11,597,18.7,4,45,0
5641,37,high school,4,2,143,4.5,2,3,0
5642,34,high school,12,7,68,6.7,1,5,0
5643,34,university,8,2,357,3.2,0,4,0
5644,28,high school,12,1,113,18.2,1,9,0
5645,34,high school,3,7,282,4.7,17,7,0
